category,term_or_phrase,term_type,weight_1_to_5,sentiment
self_focus,I,word,1,negative
self_focus,me,word,1,negative
self_focus,my,word,1,negative
self_focus,mine,word,1,negative
self_focus,myself,word,1,negative
self_focus,I feel,phrase,2,negative
self_focus,I am,phrase,1,negative
self_focus,I’m,word,1,negative
self_focus,"me, myself, and I",phrase,1,negative
negative_affect,sad,word,2,negative
negative_affect,empty,word,3,negative
negative_affect,hopeless,word,4,negative
negative_affect,numb,word,3,negative
negative_affect,miserable,word,3,negative
negative_affect,exhausted,word,2,negative
negative_affect,tired,word,1,negative
negative_affect,lonely,word,3,negative
negative_affect,worthless,word,4,negative
negative_affect,broken,word,3,negative
negative_affect,ashamed,word,3,negative
negative_affect,guilty,word,3,negative
negative_affect,hurt,word,2,negative
negative_affect,pain,word,2,negative
negative_affect,drained,word,2,negative
negative_affect,down,word,1,negative
negative_affect,low,word,1,negative
negative_affect,worn out,phrase,2,negative
negative_affect,overwhelmed,word,2,negative
negative_affect,stuck,word,3,negative
negative_affect,heavy,word,2,negative
negative_affect,dark,word,2,negative
self_deprecation,useless,word,4,negative
self_deprecation,failure,word,3,negative
self_deprecation,burden,word,4,negative
self_deprecation,pathetic,word,3,negative
self_deprecation,disgusting,word,3,negative
self_deprecation,not enough,phrase,3,negative
self_deprecation,hate myself,phrase,5,negative
self_deprecation,nobody cares about me,phrase,4,negative
self_deprecation,I’m a mess,phrase,3,negative
self_deprecation,I am a burden,phrase,5,negative
self_deprecation,I’m worthless,phrase,5,negative
self_deprecation,I am useless,phrase,5,negative
self_deprecation,I ruin everything,phrase,4,negative
self_deprecation,I’m not enough,phrase,4,negative
self_deprecation,I hate who I am,phrase,5,negative
anhedonia,I don’t enjoy anything,phrase,5,negative
anhedonia,nothing feels good,phrase,5,negative
anhedonia,I can’t feel anything,phrase,4,negative
anhedonia,I don’t care anymore,phrase,4,negative
anhedonia,everything feels pointless,phrase,5,negative
anhedonia,I’ve lost interest,phrase,4,negative
anhedonia,nothing is fun anymore,phrase,5,negative
anhedonia,I don’t want anything,phrase,4,negative
anhedonia,I can’t enjoy things,phrase,4,negative
anhedonia,I feel nothing,phrase,4,negative
anhedonia,nothing excites me,phrase,4,negative
anhedonia,I don’t look forward to anything,phrase,4,negative
fatigue_cognitive,I’m so tired,phrase,2,negative
fatigue_cognitive,no energy,phrase,3,negative
fatigue_cognitive,can’t get out of bed,phrase,4,negative
fatigue_cognitive,exhausted all the time,phrase,4,negative
fatigue_cognitive,can’t focus,phrase,2,negative
fatigue_cognitive,brain fog,phrase,2,negative
fatigue_cognitive,everything feels hard,phrase,3,negative
fatigue_cognitive,too tired to do anything,phrase,4,negative
fatigue_cognitive,I can’t think straight,phrase,3,negative
fatigue_cognitive,no motivation,phrase,3,negative
fatigue_cognitive,I can’t function,phrase,4,negative
fatigue_cognitive,I have no energy,phrase,3,negative
